Name|Description
Бензопровод подземный 1|Труба, АЗС Татнефть Сталь 50
Водопровод подземный 3|Трубы САФУ сталь250
Водопровод подземный 4|Трубы САФУ сталь250
Водопровод подземный 5|Труба металлическая, У Педагогического колледжа, МУП Водоканал Сталь325, 250
Водопровод подземный 6|Трубы, ул.Розы Шаниной, МУП Водоканал Ст150,100,50
Водопровод подземный 7|Трубы, Обводный канал - Московский проспект, МУП Водоканал
Водопровод подземный 8|Труба, АЗС Татнефть, Чугун150
Водопровод подземный 9|Труба, ИП Поплавский, чугун150, ПЭ160
Водопровод подземный 10|Труба, Смольный Буян - Якова Тимме МУП Водоканал, чугун 300
Водопровод подземный 11|Труба, ООО НИКА ПЭ63
Дренажная канализация 1|Труба, Обводный канал, Торговый центр, ПВХ200
Дренажная канализация 2|Труба, ГПТУ, Асбест300
Дренажная канализация 3|Труба, Смольный Буян ООО "НИКА", ПЭ160
Дренажная канализация 4|Коллектор САФУ Институт космических технологий, Асбест400
Дренажная канализация 5|Труба, Сопутствующий дренаж подземной теплосети, Смольный Буян, керамика150,200
Дренажная канализация 6|Труба, Сопутствующий дренаж подземной теплосети, Обводный канал, керамика150
Кабель связи подземный 1|Кабель связи в грунте, АО РЖД, в подошве насыпи. АПВГ 4*35
Кабель связи подземный 2|Кабель связи в грунте, ПАО Ростелеком, Вдоль Обводного канала
Кабель связи подземный 3|Кабель связи в грунте, ПАО Ростелеком, Ленинградский проспект - ул.Розы Шаниной
Кабель связи подземный 4|Кабель связи в грунте, Институт космических технологий
Кабельная канализация 1|Блок асбестоцементных труб подземных линий связи, ул. Смольный Буян, АО Ростелеком
Кабельная канализация 2|Блок асбестоцементных труб подземных линий связи, ул. Розы Шаниной - Обводный канал, АО Ростелеком
Канализация бытовая 1|Труба ПЭ200 САФУ
Канализация бытовая 2|Труба САФУ Чугун100
Канализация бытовая 3|Труба, Институт физкультуры САФУ Чугун150
Канализация бытовая 4|Коллектор, МУП Водоканал, ул.Розы Шаниной, Асб150
Канализация бытовая 5|Труба, АЗС Татнефть Чугун150
Канализация бытовая 6|Коллектор, ул Якова Тимме МУП Водоканал, ЖБ400
