Name|Description|Parent_networks|Geometry
StartNullStruct0|Dummy Null Structure for LandXML purposes|Бензопровод подземный 1|POINT Z(1276.060649995692 -1119.35017759772 0.)
EndNullStruct0|Dummy Null Structure for LandXML purposes|Бензопровод подземный 1|POINT Z(1264.171348506119 -1157.921371540986 0.)
Колодец - (1074) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1271.791503858287 -1162.208802685607 6.8319)
Колодец - (1073) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1261.865820806008 -1157.877985461149 6.8319)
Колодец - (1072) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1272.109739306848 -1129.856608276721 6.8319)
Колодец - (1071) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1271.743439509533 -1129.772006519604 6.8319)
Колодец - (1070) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1271.911478120834 -1161.933836912736 6.8319)
Колодец - (1069) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1262.244508042466 -1157.715902458876 6.8319)
Колодец - (1068) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1273.648077341728 -1126.531961456873 6.8319)
Колодец - (1067) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1272.989962294698 -1126.329096405767 6.8319)
Колодец - (1066) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1264.044011554215 -1158.175869045779 6.8319)
Колодец - (1065) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1262.623195278924 -1157.553819456603 6.8319)
Колодец - (1064) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1275.2210671762 -1123.120419009123 6.8319)
Колодец - (1063) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1274.511849135626 -1122.836128329393 6.8319)
Колодец - (1060) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1276.803544202354 -1119.609982224181 6.8319)
Колодец - (1061) (Бензопровод подземный 1)|Нулевой колодец|Бензопровод подземный 1|POINT Z(1263.001882515382 -1157.39173645433 6.8319)
StartNullStruct1|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1073.475304751241 -1579.964709309076 0.)
EndNullStruct1|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1097.96763641003 -1591.813250835446 0.)
StartNullStruct2|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1097.96763641003 -1591.813250835446 0.)
EndNullStruct2|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1093.749768779613 -1610.50372605864 0.)
StartNullStruct3|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1093.749768779613 -1610.50372605864 0.)
EndNullStruct3|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1082.064372973982 -1630.339439947624 0.)
StartNullStruct4|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1082.064372973982 -1630.339439947624 0.)
EndNullStruct4|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1049.62681666296 -1684.282015931793 0.)
StartNullStruct5|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1049.62681666296 -1684.282015931793 0.)
EndNullStruct5|Dummy Null Structure for LandXML purposes|Водопровод подземный 3|POINT Z(1035.221129329409 -1677.65182499215 0.)
Колодец - (106) (Водопровод подземный 3)|Цилиндрические колодцы|Водопровод подземный 3|POINT Z(1096.9403980876 -1597.086544747564 7.848217064139)
Колодец - (110) (Водопровод подземный 3)|Цилиндрические колодцы|Водопровод подземный 3|POINT Z(1043.841135393362 -1686.377416002098 6.909339551773)
